station_name_cleaned,num_trips
E 45 St & 3 Ave,242180
E 47 St & 1 Ave,148438
E 47 St & 2 Ave,247139
E 47 St & Park Ave,466700
E 48 St & 3 Ave,223132
E 48 St & 5 Ave,283562
E 48 St & Madison Ave,14153
E 5 St & 2 Ave,9385
E 5 St & Ave A,996
E 5 St & Avenue C,188419
E 5 St & Cooper Sq,30303
E 50 St & Park Ave,12521
E 51 St & 1 Ave,195181
E 51 St & 2 Ave,75489
E 51 St & Lexington Ave,213973
E 52 St & 2 Ave,152595
E 53 St & 3 Ave,97665
E 53 St & Lexington Ave,158434
E 53 St & Madison Ave,236728
E 54 St & 1 Ave,29416
E 55 St & 2 Ave,216410
E 55 St & 3 Ave,121580
E 55 St & Lexington Ave,109578
E 56 St & 3 Ave,108890
E 56 St & Madison Ave,113188
E 58 St &  1 Ave (NW Corner),63083
E 58 St & 1 Ave,60912
E 58 St & 1 Ave (NE Corner),43621
E 58 St & 1 Ave (NW Corner),14687
E 58 St & 3 Ave,367246
E 58 St & Madison Ave,94391
E 59 St & Madison Ave,150892
E 59 St & Sutton Pl,32133
E 6 St & 2 Ave,94
E 6 St & Avenue B,361151
E 6 St & Avenue D,213348
E 6 St 2 Ave,7
E 60 St & York Ave,81152
E 61 St & Park Ave,10364
E 63 St & 3 Ave,49303
E 65 St & 2 Ave,100881
E 66 St & Madison Ave,61153
E 67 St & Lexington Ave,2618
E 67 St & Park Ave,83009
E 68 St & 3 Ave,84898
E 68 St & Madison Ave,59541
E 7 St & Ave B,1554
E 7 St & Ave C,1320
E 7 St & Avenue A,495416
E 71 St & 1 Ave,25366
E 71 St & 2 Ave,18652
E 72 St & Park Ave,123992
E 72 St & York Ave,244824
E 74 St & 1 Ave,161964
E 75 St & 3 Ave,119168
E 76 St & 3 Ave,23978
E 76 St & Park Ave,98168
E 77 St & 3 Ave,88210
E 77 St & Park Ave,6728
E 78 St & 2 Ave,78639
E 8 St & Caton Ave,2218
E 80 St & 2 Ave,32408
E 80 St & Park Ave,2016
E 81 St & 2 Ave,91691
E 81 St & 3 Ave,112131
E 81 St & Park Ave,57341
E 81 St & York Ave,131656
E 82 St & 2 Ave,3107
E 82 St & East End Ave,69922
E 84 St & 1 Ave,155263
E 84 St & 3 Ave,23983
E 84 St & Park Ave,137706
E 85 St & 3 Ave,231035
E 85 St & York Ave,114990
E 87 St & 3 Ave,1520
E 88 St & 1 Ave,121885
E 88 St & Park Ave,79039
E 89 St & 3 Ave,106951
E 89 St & York Ave,96777
E 9 St & 5 Ave,35005
E 9 St & Avenue C,292784
E 91 St & 2 Ave,146450
E 91 St & Park Ave,80757
